Huge Harvest,159.99,30
Mixed Medley,159.99,20
Salad Ballad,159.99,10
SUPER Fertilizer,34.99,3.75
Seedsheet Organic Bio-Insecticide,32.99,9
Raised Bed Trellis Net,26.99,9
Telescoping Water Wand,59.99,15
Pruning & Harvesting Scissors,39.99,10
Biodegradable Planting Stakes (10-pack),12.99,3
Expeditious Delicious Raised Bed Seedsheet,149.99,30
Easy Breeazy caprese Raised Bed Seedsheet,119.99,20
Roots and Shoots Fall Garden,129.99,25
Picture Perfect Pickling Fall Garden,129.99,25
Kaleidoscope Cut Flowers Raised Bed Seedsheet,129.99,20
Summer Three Sisters Raised Bed Seedsheet,119.99,20
Summer Southern Comforts Raised Bed Seedsheet,119.99,20
Summer Pad Thai Raised Bed Seedsheet,129.99,20
Fresh Salsa Raised Bed Seedsheet,119.99,20
Summer Supreme Garden Kit,499.99,111
Summer Saver Garden Kit,324.99,86
Summer Starter Garden Kit,149.99,124.99
Summer Salads Raised Bed Seedsheet,139.99,20
Arugula,15,0
Basil,15,0
Dragon Bean,12,0
French Green Bean,15,0
Provider Bush Bean,15,0
Beets,15,0
Borage,15,0
Broccoli,10,0
Broccolini,12,0
Butterhead Lettuce,12,0
Dragon Carrot,12,0
Fall Carrot,15,0
Cauliflower,10,0
Rainbow Chard,15,0
Cilantro,15,0
Lemon Cucumber,10,0
Dill,15,0
Fennel,12,0
Kale,12,0
Salad Blend Lettuce,15,0
Dark Orange Marigold,12,0
Sun Gold Cherry Tomato,10,0
Heirloom Medium Red Tomato,10,0
Golden Sunflower,12,0
Spinach,15,0
Scallions,10,0
Sage,10,0
Watermelon Radish,15,0
French Breakfast Radish,15,0
Suger Snap Pea,15,0
Parsley,15,0
Corn,15,0
Spring Carrot,15,0
Jalapeno Pepper,12,0
Edamame,12,0
Deep Purple Carrot,15,0
Eggplant,15,0
Giant Purple Zinnia,12,0
Cucamelon,12,0
Orange Calendula,12,0
Strawberry Blonde Sunflower,12,0
Shishito Pepper,12,0
Tangerine Gem Marigold,12,0
Cayenne Pepper,12,0
Mustard,10,0
Buzz Buttons,12,0
Chives,10,0
Thyme,10,0
Mini Sweet Pepper,12,0
Glacier Tomato,10,0
Zucchini,12,0
Baby Watermelon,15,0
Large Bell Pepper,12,0
Tomatillo,10,0
Cantaloupe,15,0
Cucumber,10,0
Yellow Squash,12,0
Spaghetti Squash,12,0
Nastrutium,12,0
Husk Cherry,10,0
Racer Pumpkin,15,0
